scenario,p,severity,log_return,S_T,pnl_$
Mild tariffs / tighter language,0.3,1,-0.2051056145725851,326.14220376279366,2923.0000000000005
Mild tariffs / tighter language,0.3,1,0.1161649749222753,449.7105185319227,-577.0
Mild tariffs / tighter language,0.3,1,0.028023386508754,411.7689928764376,-577.0
Mild tariffs / tighter language,0.3,1,0.0846901019180102,435.7763750931073,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.1250852375667645,353.31283094350704,2591.716905649296
No new measures,0.45,0,0.1426809252552921,461.7945217104219,-577.0
Aggressive + retaliation,0.05,3,-0.0582065228967351,377.7499941977781,148.00058022218923
No new measures,0.45,0,0.1805582871695888,479.6215693947445,-577.0
No new measures,0.45,0,-0.073548365152658,371.9988428079435,723.1157192056496
Mild tariffs / tighter language,0.3,1,0.1161729064591867,449.7140854416454,-577.0
No new measures,0.45,0,0.0247434278184395,410.4206201021802,-577.0
No new measures,0.45,0,0.2481572435975826,513.1644465024656,-577.0
No new measures,0.45,0,0.1628362437710865,471.19656973460434,-577.0
Mild tariffs / tighter language,0.3,1,0.2353724536078357,506.6455072519713,-577.0
Mild tariffs / tighter language,0.3,1,-0.0155716472982595,394.2035740986015,-577.0
No new measures,0.45,0,-0.128724744722295,352.02928352397976,2720.0716476020243
Mild tariffs / tighter language,0.3,1,0.0416529984519629,417.4196652201067,-577.0
No new measures,0.45,0,0.1701036801945151,474.6334343188512,-577.0
Aggressive + retaliation,0.05,3,-0.0190331096026195,392.841412182764,-577.0
No new measures,0.45,0,-0.3229812309453327,289.8773428280914,2923.0
Mild tariffs / tighter language,0.3,1,0.2366930313295536,507.315013992202,-577.0
Mild tariffs / tighter language,0.3,1,0.0122941208007808,405.3428407945048,-577.0
Mild tariffs / tighter language,0.3,1,0.023036041381362,409.7204713842209,-577.0
Aggressive + retaliation,0.05,3,0.3392899928772198,562.1277299531893,-577.0
No new measures,0.45,0,0.1107366025092316,447.2759362472869,-577.0
Mild tariffs / tighter language,0.3,1,0.3750904004113532,582.6167002211253,-577.0
No new measures,0.45,0,-0.0473990057125658,381.8546744998663,-262.46744998662916
Mild tariffs / tighter language,0.3,1,0.0288703419812179,412.1178906079104,-577.0
No new measures,0.45,0,0.0941116255732762,439.9014542714359,-577.0
No new measures,0.45,0,0.0712117924157881,429.9422516177687,-577.0
No new measures,0.45,0,0.059066500192281,424.75205933310497,-577.0
